Miesiac;Rok;Ogolem;Zywnosc i napoje bezalkoholowe;Napoje alkoholowe i wyroby tytoniowe;Odziez i obuwie;Uzytkowanie mieszkania lub domu i nosniki energii;Wyposazenie mieszkania i prowadzenie gospodarstwa domowego;Zdrowie;Transport;Lacznosc;Rekreacja i kultura;Edukacja;Restauracje i hotele;Inne towary i uslugi
I;2021;102.6;100.8;103.4;96.3;107.6;101.8;104.5;96.0;105.7;103.6;105.5;105.4;102.4
II;2021;102.4;100.6;102.1;97.1;106.1;102.2;104.5;98.4;105.1;104.1;105.5;104.9;102.4
III;2021;103.2;100.5;102.1;98.6;106.0;101.9;103.7;105.4;107.4;104.9;105.5;104.6;102.1
IV;2021;104.3;101.2;101.7;99.7;105.7;102.6;103.4;116.2;107.6;105.4;105.5;104.4;102.3
V;2021;104.7;101.7;101.8;100.8;106.0;103.0;102.6;119.5;106.6;105.7;105.8;105.0;101.6
VI;2021;104.4;102.0;101.7;99.5;105.9;102.6;102.6;116.5;104.2;104.8;105.0;105.7;101.4
VII;2021;105.0;103.1;101.6;99.4;106.2;103.4;102.8;118.5;103.6;105.6;104.8;106.1;101.4
VIII;2021;105.5;103.9;101.8;100.0;106.9;103.3;103.0;117.8;104.2;105.8;104.8;106.6;101.8
IX;2021;105.9;104.4;102.1;100.5;107.2;103.8;103.1;118.5;105.3;104.8;104.3;107.0;102.6
X;2021;106.8;105.0;102.0;100.7;109.0;105.3;103.2;122.1;106.0;105.0;104.6;107.5;102.5
XI;2021;107.8;106.4;102.2;101.9;110.7;105.4;103.1;124.1;104.7;105.7;104.4;107.6;102.6
XII;2021;108.6;108.6;102.5;102.9;111.2;105.7;103.4;122.7;105.4;106.2;104.4;108.4;103.4
I;2022;109.4;109.3;103.7;104.2;114.9;106.7;103.7;117.2;104.0;107.1;105.2;110.3;105.7
II;2022;108.5;107.6;104.6;103.5;114.3;107.3;104.6;109.9;105.4;108.6;105.6;111.5;105.3
III;2022;111.0;109.2;105.3;103.3;117.7;107.8;106.0;124.1;103.0;107.4;106.0;112.7;106.2
